,Número Licitação,Código UG,Nome UG,Código Modalidade Compra,Modalidade Compra,Número Processo,Objeto,Situação Licitação,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,Município,Data Resultado Compra,Data Abertura,total,tipo,TAG
617,832020,179083,CASA DA MOEDA DO BRASIL,5,Pregão,0031/2020,"Objeto: Pregão Eletrônico -  Prestação de serviços de calibração dos Equipamentos e Dispositivos de Inspeção, Medição e Ensaio conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.",Divulgado,25000,Ministério da Economia,25211,Casa da Moeda do Brasil,RIO DE JANEIRO,28/01/2021,22/01/2021,58673.0,COMPRA/SERVIÇOS,1
618,852020,399003,COMPANHIA DOCAS DO ESTADO DE SAO PAULO,5,Pregão,334/20-18,Objeto: Pregão Eletrônico -  Contratação de laboratório de análises clínicas para a realização de 1500 (mil e quinhentos) exames diagnósticos da COVID-19 com detecção dos anticorpos IGM/IGG para os empregados da Santos Port Authority - SPA.,Publicado,39000,Ministério da Infraestrutura,39000,Ministério da Infraestrutura - Unidades com v,SAO PAULO,27/01/2021,16/12/2020,201600.0,COMPRA/SERVIÇOS,1
619,862020,926658,HOSPITAL METROPOLITANO ODILON BEHRENS,5,Pregão,011292851940,"Objeto: Pregão Eletrônico -  Aquisição de fios cirúrgicos, cera para osso e fita cardíaca para atender a demanda de forma contínua do Hospital Metropolitano Odilon Behrens e suas unidades por um período de 12 meses, conforme especificação técnica contida no Anexo I do Instrumento Convocatório.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,11/01/2021,21/07/2020,161051.8,COMPRA/SERVIÇOS,1
621,882020,925449,FUND.PUBL.EST.HOSP.DE CLÍNICAS GASPAR VIANNA,5,Pregão,440012/2020,"Objeto: Pregão Eletrônico -  A presente licitação tem por objeto a aquisição de Equipamentos de ultrassonografia portáteis para utilização no STRS e SADT da Fundação Hospital de Clínicas Gaspar Vianna (FHCGV) e para pacientes da Clínica de Hemodiálise Monteiro Leite (CHML),conforme especificações do termo de referência - anexo I, o qual é parte integrante do edital para fornecimento nos prazos e condições constantes no referido termo.",Evento de Reabertura de Prazo ,99900,REPUBLICA FEDERATIVA DO BRASIL,93420,ESTADO DO PARA,Inválido,27/01/2021,20/10/2020,528000.0,COMPRA/SERVIÇOS,1
622,882020,112408,HOSPITAL DAS FORCAS ARMADAS,5,Pregão,60550022203202012,"Objeto: Pregão Eletrônico -  Aquisição de material de permanente hospitalar, a fim de prover a Subdivisão de Fisioterapia - HFA e suas seções subordinadas, com materiais de saúde para atendimento aos pacientes em ambulatório e unidades de internação  no Hospital das Forças Armadas - HFA.",Evento de Resultado de Julgame,52000,Ministério da Defesa,52000,Ministério da Defesa - Unidades com vínculo d,BRASILIA,08/01/2021,05/01/2021,19091.0,COMPRA/SERVIÇOS,1
623,882020,153114,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,5,Pregão,230785322922007,"Objeto: Pregão Eletrônico -  Contratação de serviços de manutenção, serviços de reparos e configuração de hardware e software das centrais telefônicas da UFRGS e prestação de serviços em redes e em infraestrutura para telefonia com fornecimento de materais",Evento de Resultado de Julgame,26000,Ministério da Educação,26244,Universidade Federal do Rio Grande do Sul,PORTO ALEGRE,19/01/2021,13/01/2021,12189829.8,COMPRA/SERVIÇOS,1
624,882020,179083,CASA DA MOEDA DO BRASIL,5,Pregão,1301/2019,"Objeto: Pregão Eletrônico -  Aquisição de Tintas e Afins para construção civil, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.",Divulgado,25000,Ministério da Economia,25211,Casa da Moeda do Brasil,RIO DE JANEIRO,27/01/2021,12/01/2021,127607.81,COMPRA/SERVIÇOS,1
625,892020,925894,COMPANHIA DE SANEAMENTO MUNICIPAL,5,Pregão,0892020,Objeto: Pregão Eletrônico -  Contratação de empresa especializada para prestação de serviços de calibração RBC ou RBC rastreável em equipamentos analíticos utilizados em controle de processos das Estações de Tratamento de Esgoto e Estações de Tratamento de Água da CESAMA.,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,29/01/2021,02/12/2020,9870.0,COMPRA/SERVIÇOS,1
626,892020,925814,TRIBUNAL DE JUSTIÇA DO ESTADO DE TOCANTINS,5,Pregão,19.0.000039603-9,"Objeto: Pregão Eletrônico -  Prestação de serviços de  manutenção preventiva, preditiva e corretiva mensal permanente e chamada de emergência, incluindo o fornecimento de materiais, peças, componentes e acessórios, de transformadores, disjuntores, seccionadoras, reles de proteção, capacitores, grupos geradores e demais equipamentos de energia elétrica em cabines abrigadas, existentes nos prédios do Tribunal de Justiça, da Comarca de  Araguaína, da Comarca de Guaraí, da Comarca de Palmas e da Comarca de Porto",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93720,ESTADO DE TOCANTINS,Inválido,18/01/2021,30/11/2020,348408.0,COMPRA/SERVIÇOS,1
628,902020,927317,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE ITAUNA,5,Pregão,194/2020,Objeto: Pregão Eletrônico -  Registro de Preços visando a futura e eventual contratação de empresa especializada na prestação de serviços de manutenção preventiva e corretiva nos veículos da frota do SAAE de Itaúna/MG incluindo o fornecimento de peças e acessórios.,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,12/01/2021,11/12/2020,2532.0,COMPRA/SERVIÇOS,1
629,912020,925008,BANCO DE BRASÍLIA S/A,5,Pregão,041.000.937/2020,"Objeto: Pregão Eletrônico -  Fornecimento parcelado de quantidade estimada de 36.588 (trinta e seis mil, quinhentos e oitenta e oito) garrafões de 20 litros de água mineral ou natural potável, sem gás, incluindo o serviço de entrega, para o consumo das dependências do BRB   Banco de Brasília S.A. para o anos de 2021.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97400,DISTRITO FEDERAL,Inválido,08/01/2021,08/12/2020,362862.12,COMPRA/SERVIÇOS,1
630,912020,510178,SUPERINTENDENCIA REGIONAL SUDESTE I,5,Pregão,35014316435202051,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para executar serviço de Elaboração de Projeto Técnico de Prevenção e Combate à Incêndio e Pânico (incluindo Projeto Executivo e SPDA) para adequação do imóvel da Superintendência Regional Sudeste I, situado no Viaduto Santa Ifigênia nº 266, Centro/SP conforme Edital e anexos.",Publicado,25000,Ministério da Economia,37202,Instituto Nacional do Seguro Social,SAO PAULO,08/01/2021,30/12/2020,9000.0,COMPRA/SERVIÇOS,1
631,922020,926483,SERVIÇO SOCIAL DO COMÉRCIO - SESC MG,5,Pregão,01856/2020,"Objeto: Pregão Eletrônico -  Registro de preços para contratação de empresa especializada em comunicação visual para produção de placas de sinalização nas unidades do Sesc em Minas, conforme especificações constantes no Edital e Anexos.",Evento de Alteração Divulgado,38000,MINISTERIO DO TRABALHO E EMPREGO,38000,MINISTERIO DO TRABALHO E EMPREGO,Inválido,28/01/2021,20/11/2020,876906.09,COMPRA/SERVIÇOS,1
632,922020,925450,HOSPITAL OPHIR LOYOLA/PA,5,Pregão,2020/680818,Objeto: Pregão Eletrônico -  Aquisição de cartuchos de Impressora de pulseira compatível com a impressora térmica Zebra HC 100,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93420,ESTADO DO PARA,Inválido,05/01/2021,16/12/2020,23030.4,COMPRA/SERVIÇOS,1
636,932020,155010,HOSPITAL UNIVERSITARIO DA UFMA,5,Pregão,23523025945202092,"Objeto: Pregão Eletrônico -  A aquisição de produtos para saúde tipo MATERIAL HOSPITALAR   KIT DE MONITORIZAÇÃO, PATCH, SISTEMA ECMO, PRÓTESE VALVULAR, CONFORME ESPECIFICAÇÕES E QUANTIDADES CONSTANTES DO ENCARTE A DO TERMO DE REFERÊNCIA   Anexo I.",Evento de Alteração Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SAO LUIS,18/01/2021,23/11/2020,2798120.34,COMPRA/SERVIÇOS,1
637,942020,910813,CIA. HIDROELETRICA DO SAO FRANCISCO S/A,5,Pregão,6020192390,Objeto: Pregão Eletrônico -  Serviço de fornecimento e instalação do equipamento barreira aquática tipo LOG BOOM no lago da UHE Funil,Evento de Adiamento Divulgado,32000,Ministério de Minas e Energia,91081,Empresas de Energia,RECIFE,27/01/2021,30/06/2020,1230728.34,COMPRA/SERVIÇOS,1
638,952020,925449,FUND.PUBL.EST.HOSP.DE CLÍNICAS GASPAR VIANNA,5,Pregão,642331/2020,"Objeto: Pregão Eletrônico -  A presente licitação tem por objeto a aquisição de Instrumentais Cirúrgicos para atender as necessidades da FHCGV, conforme especificações do termo de referência - anexo I, o qual é parte integrante do edital para fornecimento nos prazos e condições constantes no referido termo.",Evento de Reabertura de Prazo ,99900,REPUBLICA FEDERATIVA DO BRASIL,93420,ESTADO DO PARA,Inválido,14/01/2021,19/11/2020,47181.83,COMPRA/SERVIÇOS,1
639,962020,925894,COMPANHIA DE SANEAMENTO MUNICIPAL,5,Pregão,962020,Objeto: Pregão Eletrônico -  Aquisição de cabos de instrumentação blindados para uso da CESAMA,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,28/01/2021,16/11/2020,7245.0,COMPRA/SERVIÇOS,1
641,992020,926137,GER. DE CENTRO DE SER.COMP.ESCRITÓRIOCENTRAL,5,Pregão,PE.CSAQ.A.99.2020,"Objeto: Pregão Eletrônico -  Contratação de empresa para a execução dos serviços de manutenção preventiva e corretiva em poços artesianos, localizados em assentamentos oriundos do MAB-MT, no entorno do reservatório da Usina Hidrelétrica de Manso (APM Manso), em Chapada dos Guimarães-MT, por um período de 24 (vinte e quatro) meses.",Evento de Reabertura de Prazo ,32000,MINISTERIO DE MINAS E ENERGIA,91081,EMPRESAS DE ENERGIA,Inválido,06/01/2021,15/12/2020,264880.0,COMPRA/SERVIÇOS,1
643,992020,155125,HOSPITAL UNIVERSITARIO DE SANTA MARIA,5,Pregão,23541001063202013,Objeto: Pregão Eletrônico -  PrESTAÇÃO DE SERVIÇOS DE EXAME CITOPATOLÓGICO DO COLO DO ÚTERO (PAPANICOLAU) PARA O HOSPITAL UNIVERSITÁRIO DE SANTA MARIA (HUSM-UFSM),Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SANTA MARIA,06/01/2021,05/01/2021,28950.0,COMPRA/SERVIÇOS,1
644,1002020,927317,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE ITAUNA,5,Pregão,207/2020,"Objeto: Pregão Eletrônico -  Aquisição de verduras, frutas e legumes.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,06/01/2021,17/12/2020,359111.4,COMPRA/SERVIÇOS,1
645,1012020,925777,COMPANHIA DE ÁGUAS E ESGOTOS DO RN,5,Pregão,03210327.000221,"Objeto: Pregão Eletrônico -  Aquisição de conexões em ferro galvanizado, conforme Termo de Referência e Ordem de Licitação nº 8184/2020   DA.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,94420,ESTADO DO RIO GRANDE DO NORTE,Inválido,27/01/2021,08/12/2020,10198.72,COMPRA/SERVIÇOS,1
646,1012020,926841,ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ,5,Pregão,05062/2020,"Objeto: Pregão Eletrônico -  Contratação de empresa para locação de máquinas de acabamento foto-copiadoras/impressora para suprir necessidades desta Casa Legislativa, conforme especificações constantes neste edital e em seus anexos.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,94320,ESTADO DO CEARA,Inválido,14/01/2021,17/12/2020,433680.51,COMPRA/SERVIÇOS,1
647,1012020,925138,BANCO CENTRAL DO BRASIL - SÃO PAULO,5,Pregão,181379,"Objeto: Pregão Eletrônico -  Contratação de empresa para a prestação de serviços de Limpeza, conservação e higienização; de Copeiragem; Coleta seletiva e separação de resíduos sólidos, de materiais recicláveis, e fragmentação de papéis; Controle de pragas urbanas; Fornecimento de caçambas para recolhimento de entulhos; Recolhimento de resíduo orgânico, transporte e destinação; Fornecimento de lanches e Serviços de garçom; Fornecimento de café, açúcar, adoçante, no BCB em São Paulo.",Evento de Suspensão Publicado,25000,MINISTERIO DA ECONOMIA,25201,BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL,Inválido,15/01/2021,16/12/2020,2119344.28,COMPRA/SERVIÇOS,1
648,1012020,927317,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE ITAUNA,5,Pregão,208,Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios para o preparo de refeições para os servidores da Autarquia.,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,12/01/2021,29/12/2020,262215.4,COMPRA/SERVIÇOS,1
649,1032020,925008,BANCO DE BRASÍLIA S/A,5,Pregão,041.001.073/2020,"Objeto: Pregão Eletrônico -  Prestação dos serviços de apoio administrativo, conservação e limpeza, com fornecimento dos materiais de limpeza e equipamentos necessários para a execução dos serviços nas dependências da Agência Rio de Janeiro do BRB - Banco de Brasília S.A",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97400,DISTRITO FEDERAL,Inválido,19/01/2021,11/01/2021,338999.7,COMPRA/SERVIÇOS,1
650,1042020,927317,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE ITAUNA,5,Pregão,111/2020,"Objeto: Pregão Eletrônico -  Registro de Preços visando a futura e eventual contratação de empresa para serviço de manutenção, instalação de célula de carga, instalação e reprogramação da placa de circuitos do indicador de pesagem e calibração incluindo caminhão peso padrão, bem como fornecimento de célula de carga e placa de circuitos do indicador de pesagem da balança rodoviária do aterro sanitário municipal.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,27/01/2021,18/01/2021,62000.0,COMPRA/SERVIÇOS,1
652,1052020,927317,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE ITAUNA,5,Pregão,214,Objeto: Pregão Eletrônico -  Registro de Preços visando a futura e eventual aquisição de materiais de informática.,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,27/01/2021,18/01/2021,63722.95,COMPRA/SERVIÇOS,1
653,1062020,926483,SERVIÇO SOCIAL DO COMÉRCIO - SESC MG,5,Pregão,02691/20,"Objeto: Pregão Eletrônico -  Contratação do serviço de coleta, transporte, tratamento e disposição final dos resíduos infectantes, químicos sólidos e líquidos, material perfurocortante, lâminas de chumbo e resíduos de amálgama das unidades do Sesc em Minas, conforme especificações constantes no Edital e Anexos.",Divulgado,38000,MINISTERIO DO TRABALHO E EMPREGO,38000,MINISTERIO DO TRABALHO E EMPREGO,Inválido,28/01/2021,25/01/2021,42072.04,COMPRA/SERVIÇOS,1
654,1072020,926483,SERVIÇO SOCIAL DO COMÉRCIO - SESC MG,5,Pregão,02813/20,"Objeto: Pregão Eletrônico -  Registro de preços para aquisição de MATERIAIS DE ESCRITÓRIO E ESCOLAR para todas as unidades do Sesc em Minas, conforme especificações constantes no Edital e Anexos.",Divulgado,38000,MINISTERIO DO TRABALHO E EMPREGO,38000,MINISTERIO DO TRABALHO E EMPREGO,Inválido,28/01/2021,11/01/2021,513364.8,COMPRA/SERVIÇOS,1
655,1072020,155017,HOSPITAL UNIVERSITARIO DA UFS,5,Pregão,23530016606202026,Objeto: Pregão Eletrônico -  OMEPRAZOL 40 MG- PÓ para solução injetável,Evento de Resultado de Julgame,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,ARACAJU,14/01/2021,14/12/2020,0.0,COMPRA/SERVIÇOS,1
656,1082020,928116,SECRETARIA EXECUTIVA DA GOVERNADORIA PALMAS,5,Pregão,2020/09010/00016,"Objeto: Pregão Eletrônico -  Aquisição de material de consumo e permanente (microfone, conector, tela de projeção elétrica, etc.)",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93720,ESTADO DE TOCANTINS,Inválido,20/01/2021,18/12/2020,37759.1,COMPRA/SERVIÇOS,1
657,1082020,250042,HOSPITAL FEDERAL DE BONSUCESSO,5,Pregão,33374002264201684,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para prestação de serviços de manipulação de medicamentos antineoplásicos diluídos e preparados em atendimento à prescrição médica ao Hospital Federal de Bonsucesso, conforme condições, quantidades e exigências estabelecidas no edital e seus anexos.",Evento de Resultado de Julgame,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,RIO DE JANEIRO,27/01/2021,14/01/2021,2795000.0,COMPRA/SERVIÇOS,1
658,1082020,910847,ELETROBRAS TERMONUCLEAR S/A,5,Pregão,DAN.A/PE-108/2020,Objeto: Pregão Eletrônico -  Fornecimento de Materiais de Construção.,Publicado,32000,Ministério de Minas e Energia,91081,Empresas de Energia,RIO DE JANEIRO,28/01/2021,31/07/2020,58550.0,COMPRA/SERVIÇOS,1
659,1092020,926995,SECRETARIA MUNICIPAL DE SAÚDE,5,Pregão,Bee 26669,"Objeto: Pregão Eletrônico -  Aquisição de Bens Permanentes (Seladora Automática Compacta de Mesa e Seladora Manual Compacta de Mesa) para a Central de Material e Esterilização, para abastecer as Unidades de Saúde da Secretaria Municipal de Saúde de Goiânia, conforme condições e especificações constantes deste Edital e seus anexos.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97320,ESTADO DE GOIAS,Inválido,05/01/2021,01/12/2020,0.0,COMPRA/SERVIÇOS,1
660,1092020,155125,HOSPITAL UNIVERSITARIO DE SANTA MARIA,5,Pregão,235410010842020-3,"Objeto: Pregão Eletrônico -  PrESTAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA, COM FORNECIMENTO DE PEÇAS PARA EQUIPAMENTOS DE ALIMENTAÇÃO ININTERRUPTA (NOBREAKS) DO HOSPITAL UNIVERSITÁRIO  DE SANTA MARIA (HUSM-UFSM).",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SANTA MARIA,29/01/2021,19/01/2021,46328.0,COMPRA/SERVIÇOS,1
661,1102020,925894,COMPANHIA DE SANEAMENTO MUNICIPAL,5,Pregão,1102020,"Objeto: Pregão Eletrônico -  Aquisição de tubos e conexões diversas para saneamento   PVC para redes de água e esgoto e colares de tomada em ferro fundido para uso da CESAMA, conforme especificações contidas neste Termo de Referência.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,28/01/2021,12/01/2021,38555.01,COMPRA/SERVIÇOS,1
662,1122020,926483,SERVIÇO SOCIAL DO COMÉRCIO - SESC MG,5,Pregão,00520/20,"Objeto: Pregão Eletrônico -  Registro de Preço para fornecimento de alimentos para coffee break, conforme especificações constantes no Edital e Anexos.",Evento de Alteração Divulgado,38000,MINISTERIO DO TRABALHO E EMPREGO,38000,MINISTERIO DO TRABALHO E EMPREGO,Inválido,28/01/2021,26/01/2021,56880.0,COMPRA/SERVIÇOS,1
663,1122020,120633,GRUPAMENTO DE APOIO DE SAO PAULO,5,Pregão,67263005491202017,Objeto: Pregão Eletrônico -  Contratação de serviços de cantina na Base Aérea de São Paulo,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,SAO PAULO,18/01/2021,10/12/2020,0.0,COMPRA/SERVIÇOS,1
664,1132020,926625,MINISTÉRIO PÚBLICO DO ESTADO DO MATO GROSSO,5,Pregão,003935/2020,"Objeto: Pregão Eletrônico -  CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE KIT RASPBERRY E MATERIAL DE CONSUMO, NECESSÁRIOS À EXECUÇÃO DAS TAREFAS OPERACIONAIS DEMANDADAS PELA ATUAÇÃO DO MINISTÉRIO PÚBLICO DO ESTADO DE MATO GROSSO, DE ACORDO COM AS ESPECIFICAÇÕES Do TERMO DE REFERÊNCIA   ANEXO I",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97220,ESTADO DO MATO GROSSO,Inválido,05/01/2021,15/12/2020,52769.25,COMPRA/SERVIÇOS,1
665,1132020,925959,SECRET. DO TRAB E AÇÃO SOCIAL DO EST. DO TO,5,Pregão,00394/41000/2020,Objeto: Pregão Eletrônico -  Aquisição de Kit de Cestas Básicas   PRODUTOS DESTINADOS AO COMBATE A PANDEMIA,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93720,ESTADO DE TOCANTINS,Inválido,13/01/2021,30/12/2020,1467790.2,COMPRA/SERVIÇOS,1
666,1132020,925373,SUPERINTEND.ESTAD.DE COMPRAS E LICITAÇÕES/RO,5,Pregão,0043391897/201991,"Objeto: Pregão Eletrônico -  Registro de Preços para eventual e futura aquisição de computadores para atender aos órgãos da Administração Direta e Indireta do Governo do Estado de Rondônia, conforme especificações e condições constantes deste Termo de Referência.",Evento de Reabertura de Prazo ,99900,REPUBLICA FEDERATIVA DO BRASIL,93520,ESTADO DE RONDONIA,Inválido,15/01/2021,04/12/2020,13616151.71,COMPRA/SERVIÇOS,1
667,1142020,926483,SERVIÇO SOCIAL DO COMÉRCIO - SESC MG,5,Pregão,02227/2020,"Objeto: Pregão Eletrônico -  Registro de preço para aquisição de vacinas para o Sesc em Minas, conforme especificações constantes no Edital e Anexos.",Divulgado,38000,MINISTERIO DO TRABALHO E EMPREGO,38000,MINISTERIO DO TRABALHO E EMPREGO,Inválido,28/01/2021,18/01/2021,1193413.0,COMPRA/SERVIÇOS,1
668,1152020,926658,HOSPITAL METROPOLITANO ODILON BEHRENS,5,Pregão,010405172076,"Objeto: Pregão Eletrônico -  Aquisição de antimicrobianos injetáveis para atender a demanda de forma contínua do Hospital Metropolitano Odilon Behrens e suas unidades por um período de 12 (doze) meses, conforme quantidades, especificações técnicas e condições comerciais contidas no edital e seus anexos do Instrumento Convocatório.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,11/01/2021,19/08/2020,3634164.0,COMPRA/SERVIÇOS,1
669,1152020,179085,BANCO DO NORDESTE DO BRASIL S/A,5,Pregão,2020/683,"Objeto: Pregão Eletrônico -  Contratação de Solução de Recursos Humanos (RH) incluindo licenciamento de software e serviços de implementação, suporte técnico e manutenção evolutiva, a ser utilizada na operacionalização do macroprocesso de Gestão de Pessoas do Banco do Nordeste.",Publicado,25000,Ministério da Economia,25282,Banco do Nordeste do Brasil,FORTALEZA,06/01/2021,19/10/2020,5499500.0,COMPRA/SERVIÇOS,1
670,1162020,926625,MINISTÉRIO PÚBLICO DO ESTADO DO MATO GROSSO,5,Pregão,005364/2020,"Objeto: Pregão Eletrônico -  CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE CANCELAS AUTOMÁTICAS DE ACESSO AO ESTACIONAMENTO DA SEDE DA PROCURADORIA-GERAL DE JUSTIÇA E DAS PROMOTORIAS DE JUSTIÇA DE CUIABÁ/MT, CONFORME ESPECIFICAÇÕES E QUANTIDADES CONSTANTES NO TERMO DE REFERÊNCIA   ANEXO I Do EDITAL",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97220,ESTADO DO MATO GROSSO,Inválido,28/01/2021,11/01/2021,49920.0,COMPRA/SERVIÇOS,1
671,1172020,120633,GRUPAMENTO DE APOIO DE SAO PAULO,5,Pregão,67438002007202059,"Objeto: Pregão Eletrônico -  Serviço não continuado de manutenção corretiva com substituição de peças de endoscópios, modelos: EG-1690K, EG-2770K, EG-2970K, EC-3890LI.",Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,SAO PAULO,11/01/2021,22/12/2020,43563.0,COMPRA/SERVIÇOS,1
672,1182020,926625,MINISTÉRIO PÚBLICO DO ESTADO DO MATO GROSSO,5,Pregão,005464/2020,"Objeto: Pregão Eletrônico -  CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM 02 (DUAS) PORTAS DE CORRER AUTOMÁTICAS INSTALADAS NA SEDE DAS PROMOTORIAS DE JUSTIÇA DE CUIABÁ/MT, CONFORME ESPECIFICAÇÕES e QUANTIDADES CONSTANTES NO TERMO DE REFERÊNCIA   ANEXO I DO EDITAL",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97220,ESTADO DO MATO GROSSO,Inválido,28/01/2021,12/01/2021,0.0,COMPRA/SERVIÇOS,1
673,1212020,153163,UNIVERSIDADE FEDERAL DE SANTA CATARINA,5,Pregão,23080085023201957,"Objeto: Pregão Eletrônico -  Contratação de empresa prestadora de serviços de manutenção das áreas verdes da Universidade Federal de Santa Catarina - UFSC, nas localidades de Florianópolis e Fazenda Experimental Yakult, em Balneário Barra do Sul.",Publicado,26000,Ministério da Educação,26246,Universidade Federal de Santa Catarina,FLORIANOPOLIS,18/01/2021,07/01/2021,1944786.84,COMPRA/SERVIÇOS,1
674,1232020,926377,COMPANHIA AGUAS DE JOINVILLE,5,Pregão,20.1.010409-3,Objeto: Pregão Eletrônico -  Aquisição de Inversores de Frequência.,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,96220,ESTADO DE SANTA CATARINA,Inválido,15/01/2021,10/11/2020,19500.0,COMPRA/SERVIÇOS,1
675,1232020,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,5,Pregão,67720004540202060,"Objeto: Pregão Eletrônico -  Cessão de Uso onerosa, sendo o objeto do presente  Pregão Eletrônico destinado à exploração de atividades Bancárias e correlatas que  sejam voltadas à assistência de militares e civis para pagamento de boletos, com a  abertura de contas, empréstimos, recebimento de salário, praticar taxas compatíveis  para os empréstimos e oferecer pacote de serviços, conforme termo de referência e edital.",Evento de Alteração Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,SAO JOSE DOS CAMPOS,12/01/2021,12/01/2021,0.0,COMPRA/SERVIÇOS,1
676,1232020,120644,GRUPAMENTO DE APOIO DE CURITIBA,5,Pregão,67619003014202040,"Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica especializada em prestação de serviços contínuos de conservação e limpeza de bens móveis e imóveis, com fornecimento de materiais, a serem executados nas áreas interna, externas e adjacentes, esquadrias envidraçadas, inclusive Torre de Controle , no CINDACTA II.",Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,CURITIBA,13/01/2021,29/12/2020,0.0,COMPRA/SERVIÇOS,1
677,1252020,926658,HOSPITAL METROPOLITANO ODILON BEHRENS,5,Pregão,010266722099,"Objeto: Pregão Eletrônico -  Aquisição de material de estofamento para atender a demanda de forma contínua do Hospital Metropolitano Odilon Behrens e suas unidades, conforme especificação técnica e condições comerciais contidas no Anexo I do Instrumento Convocatório. Esta licitação é exclusiva para participação de microempresas   ME e empresas de pequeno porte   EPP.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,12/01/2021,02/09/2020,9092.79,COMPRA/SERVIÇOS,1
